Product - for our reference only,Product Name,SEO-Friendly Product Title,Description,Colour,Dimension,Material ,Country of origin ,Cost to Decoristta,Total Cost to decoristta,MRP,Launch Price (25% OFF)- Selling price,Customer Saves,Inventory created
60562 (18)-Modern Thinker 3pc showpiece,Golden Serenity Sitting Figurine Set (Set of 3),Modern Gold Abstract Sitting Figurine Set of 3 | Decorative Shelf & Tabletop Home Decor Showpieces,"Elevate your interiors with the Golden Serenity Sitting Figurine Set. This elegant set of three abstract human sculptures features a luxurious matte gold finish and artistic seated poses, making them perfect for decorating shelves, console tables, TV units, office desks, and living room spaces. Their contemporary design adds sophistication and warmth to any modern home décor.",Golden ,,,Made in PRC,880,1188.4,2999,2249,750,
58691 (20)-Deer (black),Sapphire Stag Decorative Sculpture,Modern Black Deer Sculpture with Blue Crystal Accents | Luxury Decorative Showpiece for Home & Office,"Add a bold artistic statement to your décor with the Sapphire Stag Decorative Sculpture. Designed with an elegant black finish and vibrant blue crystal-inspired accents, this contemporary deer figurine symbolizes strength, grace, and prosperity. Perfect for display on console tables, TV units, bookshelves, office desks, and living room décor, it effortlessly enhances modern and luxury interiors.",Black and crystal blue ,,,Made in PRC,580,834.4,2099,1575,524,
58299 (36)-Table Lamp,,,,,,,Made in PRC,530,775.4,1999,1499,500,
58695 (12)-Horse (white),Celestial Stallion Crystal Sculpture,Luxury White & Gold Rearing Horse Sculpture with Aqua Crystal Accents | Decorative Home & Office Showpiece,"Bring elegance and sophistication to your décor with the Celestial Stallion Crystal Sculpture. Crafted with a textured white finish, luxurious gold accents, and beautiful aqua crystal-inspired inlays, this rearing horse figurine symbolizes strength, freedom, and success. Perfect for living rooms, offices, entryways, and luxury interior settings, it serves as a striking decorative centerpiece.",White and Aqua blue,,,Made in PRC,780,1070.4,2699,2025,674,
57432 (96)-Jaguar,,,,,,,Made in PRC,120,291.6,799,599,200,
37269(6)-Elephant set,Royal Golden Elephant Decorative Showpiece Set (Set of 3),"Luxury Golden Elephant Decorative Showpiece Set of 3 for Home, Living Room & Office Decor","Enhance your interiors with this elegant 3-piece elephant décor set featuring two beautifully crafted golden elephant figurines and a matching decorative elephant art plate. Finished with luxurious gold and silver detailing, this premium showpiece symbolizes prosperity, strength, and good fortune, making it perfect for living rooms, offices, and gifting.",Golden and silver,,,Made in PRC,2790,3442.2,8999,6749,2250,
55604(12)-Metal Bull,Emerald Charge Metal Bull Sculpture,Luxury Gold Metal Charging Bull Sculpture with Emerald Crystal Accents | Decorative Home & Office Showpiece,"Make a bold statement with the Emerald Charge Bull Decorative Sculpture. Featuring a sleek gold-finished abstract bull design accented with vibrant emerald crystal-inspired inlays, this elegant showpiece symbolizes strength, determination, prosperity, and success. Perfect for office desks, living rooms, reception areas, and modern interiors, it adds a luxurious and contemporary touch to any space.",Emerald green and golden ,,,Made in PRC,2180,2722.4,6999,5249,1750,
56278 (24)-Table Lamp (Flower),Crystal Blossom LED Table Lamp,Luxury Crystal Flower LED Table Lamp – Modern Decorative Night Light for Home Décor,,Gold ,,,Made in PRC,640,905.2,2299,1725,574,
1664 clock,,,,,,,Made in PRC,1100,1448,3699,2775,924,
YS1598 clock,,,,,,,Made in PRC,1400,1802,4599,3449,1150,
YS1581 Double side clock,,,,,,,Made in PRC,1700,2156,5499,4125,1374,
9191 Victoria clock,Vintage Victoria Station Double-Sided Wall Clock,"Vintage Victoria Station Double-Sided Wall Clock – Antique Retro Hanging Clock for Home, Café & Office Décor","Add timeless elegance to your interiors with this Vintage Victoria Station Double-Sided Wall Clock. Inspired by classic London railway station clocks, it features a double-sided dial with Roman numerals, an ornate metal hanging bracket, and an antique finish. Perfect for living rooms, hallways, cafés, restaurants, offices, and vintage-themed spaces.",,,,Made in PRC,500,740,1899,1425,474,
